Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Lil Tomate,2024-06-16 14:55:58,00:44:10,,Bridgerton: Season 3: Into the Light (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,01:10:42,01:10:42,US (United States)
Lil Tomate,2024-06-16 14:28:30,00:26:59,,Bridgerton: Season 3: Joining of Hands (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:57:22,00:57:22,US (United States)
Lil Tomate,2024-06-16 14:13:14,00:14:47,,Bridgerton: Season 3: Romancing Mister Bridgerton (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,01:03:42,01:03:42,US (United States)
Lil Tomate,2024-06-16 13:59:45,00:12:56,,Bridgerton: Season 3: Tick Tock (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:54:47,00:54:47,US (United States)
Lil Tomate,2024-06-16 13:59:39,00:00:04,Autoplayed: user action: None; ,Season 3 Cliffhanger Clip: Bridgerton,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:04,00:00:04,US (United States)
Lil Tomate,2024-06-16 13:59:11,00:00:27,,Bridgerton: Season 1: The Duke and I (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:27,00:00:27,US (United States)
Lil Tomate,2024-06-16 13:58:58,00:00:05,Autoplayed: user action: None; ,Season 2 Cliffhanger Clip: King of Collectibles: The Goldin Touch,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Lil Tomate,2024-06-09 21:45:00,00:52:07,,Bridgerton: Season 1: An Affair of Honor (Episode 4),,Apple iPad Pro 11 in 3rd Gen (Wi-Fi/Cell) iPad,00:52:07,00:52:07,US (United States)
Lil Tomate,2024-06-07 19:40:43,00:00:10,Autoplayed: user action: None; ,The Resident: Season 1_hook_01_16x9,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:10,00:00:10,US (United States)
Lil Tomate,2024-06-07 19:36:02,00:04:13,Autoplayed: user action: User_Interaction; ,Sweet Tooth: Season 3: This is a Story (Episode 8),,Samsung CE 2019 Muse-L UHD TV Smart TV,00:45:57,00:45:57,US (United States)
Lil Tomate,2024-06-07 19:35:49,00:00:09,Autoplayed: user action: None; ,Comedy Clip 4: Jo Koy: Live from Brooklyn,HOOK,Samsung CE 2019 Muse-L UHD TV Smart TV,00:00:09,00:00:09,US (United States)
Lil Tomate,2024-06-07 18:57:30,00:29:36,,Sweet Tooth: Season 3: This is a Story (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,00:41:46,Not latest view,US (United States)
Lil Tomate,2024-06-07 18:09:16,00:38:40,,Sweet Tooth: Season 3: The Road Ends Here (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,00:44:57,00:44:57,US (United States)
Lil Tomate,2024-06-07 17:36:56,00:31:32,,"Sweet Tooth: Season 3: Here, There Be Monsters (Episode 6)",,Netflix Chrome MAC (Cadmium) HTML 5,00:43:12,00:43:12,US (United States)
Lil Tomate,2024-06-07 17:11:20,00:24:50,,Sweet Tooth: Season 3: The Tail-Tale Heart (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,00:40:18,00:40:18,US (United States)
Lil Tomate,2024-06-07 17:10:25,00:00:54,,Sweet Tooth: Season 3: Beyond the Sea (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:47:04,00:47:04,US (United States)
